num,ROI_Name,X_position,Y_position,type,PathwayNameFull,Pathway_Value,PathwayName
123,Germinal center_ROI004,25384,18364,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-0.0942446,ICOSL
124,Paracortex zone_ROI018,26014,26134,Paracortex zone,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",1.542760894,ICOSL
125,Paracortex zone_ROI003,23615,27609,Paracortex zone,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",1.335676177,ICOSL
126,Paracortex zone_ROI009,10097,34409,Paracortex zone,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",1.490561607,ICOSL
127,Paracortex zone_ROI015,20756,36279,Paracortex zone,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",1.457509907,ICOSL
128,Paracortex zone_ROI006,25105,18785,Paracortex zone,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",1.201029796,ICOSL
129,Paracortex zone_ROI012,10169,32873,Paracortex zone,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",1.302086413,ICOSL
130,Mantle zone_ROI008,9380,34978,Mantle zone,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-1.25147993,ICOSL
131,Mantle zone_ROI014,22224,36621,Mantle zone,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-0.804588357,ICOSL
132,Mantle zone_ROI002,24303,27332,Mantle zone,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-1.584823976,ICOSL
133,Mantle zone_ROI005,25645,18105,Mantle zone,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-2.138512518,ICOSL
134,Mantle zone_ROI011,8967,33528,Mantle zone,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-0.753328982,ICOSL
135,Mantle zone_ROI017,25314,27219,Mantle zone,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-0.867329507,ICOSL
136,Germinal center_ROI027,21345,12134,Germinal center,Exosomal proteins of epithelial cells,0.332388961,EXO-E
137,Germinal center_ROI026,27284,24303,Germinal center,Exosomal proteins of epithelial cells,-1.496844092,EXO-E
138,Germinal center_ROI025,22106,13564,Germinal center,Exosomal proteins of epithelial cells,-0.110985172,EXO-E
139,Germinal center_ROI022,7333,20899,Germinal center,Exosomal proteins of epithelial cells,0.61797686,EXO-E
140,Germinal center_ROI024,20423,22880,Germinal center,Exosomal proteins of epithelial cells,-1.434313494,EXO-E
141,Germinal center_ROI013,21798,36418,Germinal center,Exosomal proteins of epithelial cells,-0.674939604,EXO-E
142,Germinal center_ROI023,12921,26841,Germinal center,Exosomal proteins of epithelial cells,-0.70423217,EXO-E
143,Germinal center_ROI019,9260,15437,Germinal center,Exosomal proteins of epithelial cells,-0.919224941,EXO-E
144,Germinal center_ROI007,9503,34845,Germinal center,Exosomal proteins of epithelial cells,-0.646815913,EXO-E
145,Germinal center_ROI010,9318,33128,Germinal center,Exosomal proteins of epithelial cells,-1.092881279,EXO-E
146,Germinal center_ROI016,25388,26749,Germinal center,Exosomal proteins of epithelial cells,-0.867921516,EXO-E
147,Germinal center_ROI020,6925,16105,Germinal center,Exosomal proteins of epithelial cells,-0.531328709,EXO-E
148,Germinal center_ROI021,11177,16145,Germinal center,Exosomal proteins of epithelial cells,0.715762695,EXO-E
149,Germinal center_ROI001,23975,27060,Germinal center,Exosomal proteins of epithelial cells,-1.144733325,EXO-E
150,Germinal center_ROI004,25384,18364,Germinal center,Exosomal proteins of epithelial cells,-0.561777502,EXO-E
151,Paracortex zone_ROI018,26014,26134,Paracortex zone,Exosomal proteins of epithelial cells,0.301448488,EXO-E
152,Paracortex zone_ROI003,23615,27609,Paracortex zone,Exosomal proteins of epithelial cells,0.810326452,EXO-E
153,Paracortex zone_ROI009,10097,34409,Paracortex zone,Exosomal proteins of epithelial cells,0.236395149,EXO-E
154,Paracortex zone_ROI015,20756,36279,Paracortex zone,Exosomal proteins of epithelial cells,0.702383325,EXO-E
155,Paracortex zone_ROI006,25105,18785,Paracortex zone,Exosomal proteins of epithelial cells,2.17035082,EXO-E
156,Paracortex zone_ROI012,10169,32873,Paracortex zone,Exosomal proteins of epithelial cells,2.286613319,EXO-E
157,Mantle zone_ROI008,9380,34978,Mantle zone,Exosomal proteins of epithelial cells,-0.154386595,EXO-E
158,Mantle zone_ROI014,22224,36621,Mantle zone,Exosomal proteins of epithelial cells,1.440750747,EXO-E
159,Mantle zone_ROI002,24303,27332,Mantle zone,Exosomal proteins of epithelial cells,0.160706639,EXO-E
160,Mantle zone_ROI005,25645,18105,Mantle zone,Exosomal proteins of epithelial cells,0.473274584,EXO-E
161,Mantle zone_ROI011,8967,33528,Mantle zone,Exosomal proteins of epithelial cells,-0.669877091,EXO-E
162,Mantle zone_ROI017,25314,27219,Mantle zone,Exosomal proteins of epithelial cells,0.761883365,EXO-E
163,Germinal center_ROI027,21345,12134,Germinal center,CD209; CD209 antigen,-0.670887794,CD209
164,Germinal center_ROI026,27284,24303,Germinal center,CD209; CD209 antigen,-0.075093687,CD209
165,Germinal center_ROI025,22106,13564,Germinal center,CD209; CD209 antigen,0.908032987,CD209
166,Germinal center_ROI022,7333,20899,Germinal center,CD209; CD209 antigen,0.310572483,CD209
167,Germinal center_ROI024,20423,22880,Germinal center,CD209; CD209 antigen,-1.711951172,CD209
168,Germinal center_ROI013,21798,36418,Germinal center,CD209; CD209 antigen,-1.093276706,CD209
169,Germinal center_ROI023,12921,26841,Germinal center,CD209; CD209 antigen,-0.633644222,CD209
170,Germinal center_ROI019,9260,15437,Germinal center,CD209; CD209 antigen,-1.15612227,CD209
171,Germinal center_ROI007,9503,34845,Germinal center,CD209; CD209 antigen,-1.369391888,CD209
172,Germinal center_ROI010,9318,33128,Germinal center,CD209; CD209 antigen,-0.690677238,CD209
173,Germinal center_ROI016,25388,26749,Germinal center,CD209; CD209 antigen,-0.786267416,CD209
174,Germinal center_ROI020,6925,16105,Germinal center,CD209; CD209 antigen,-1.513837006,CD209
175,Germinal center_ROI021,11177,16145,Germinal center,CD209; CD209 antigen,0.722906085,CD209
176,Germinal center_ROI001,23975,27060,Germinal center,CD209; CD209 antigen,-0.241521546,CD209
177,Germinal center_ROI004,25384,18364,Germinal center,CD209; CD209 antigen,-0.378248796,CD209
178,Paracortex zone_ROI018,26014,26134,Paracortex zone,CD209; CD209 antigen,-0.42979177,CD209
179,Paracortex zone_ROI003,23615,27609,Paracortex zone,CD209; CD209 antigen,0.972627826,CD209
180,Paracortex zone_ROI009,10097,34409,Paracortex zone,CD209; CD209 antigen,0.551037361,CD209
181,Paracortex zone_ROI015,20756,36279,Paracortex zone,CD209; CD209 antigen,-0.214039026,CD209
182,Paracortex zone_ROI006,25105,18785,Paracortex zone,CD209; CD209 antigen,2.201160483,CD209
183,Paracortex zone_ROI012,10169,32873,Paracortex zone,CD209; CD209 antigen,1.165373234,CD209
184,Mantle zone_ROI008,9380,34978,Mantle zone,CD209; CD209 antigen,0.403867715,CD209
185,Mantle zone_ROI014,22224,36621,Mantle zone,CD209; CD209 antigen,0.315438,CD209
186,Mantle zone_ROI002,24303,27332,Mantle zone,CD209; CD209 antigen,1.597726501,CD209
187,Mantle zone_ROI005,25645,18105,Mantle zone,CD209; CD209 antigen,1.243063952,CD209
188,Mantle zone_ROI011,8967,33528,Mantle zone,CD209; CD209 antigen,-0.244982257,CD209
189,Mantle zone_ROI017,25314,27219,Mantle zone,CD209; CD209 antigen,0.817926167,CD209
244,Germinal center_ROI027,21345,12134,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",0.589109289,CD8A 
245,Germinal center_ROI026,27284,24303,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",-1.027342767,CD8A 
246,Germinal center_ROI025,22106,13564,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",-0.387651736,CD8A 
247,Germinal center_ROI022,7333,20899,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",0.127478765,CD8A 
248,Germinal center_ROI024,20423,22880,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",-1.021072655,CD8A 
249,Germinal center_ROI013,21798,36418,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",-0.246996759,CD8A 
250,Germinal center_ROI023,12921,26841,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",0.113478844,CD8A 
251,Germinal center_ROI019,9260,15437,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",-1.128859369,CD8A 
252,Germinal center_ROI007,9503,34845,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",-1.345048589,CD8A 
253,Germinal center_ROI010,9318,33128,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",-0.581345021,CD8A 
254,Germinal center_ROI016,25388,26749,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",-0.794135479,CD8A 
255,Germinal center_ROI020,6925,16105,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",-0.932882106,CD8A 
256,Germinal center_ROI021,11177,16145,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",-1.421794159,CD8A 
257,Germinal center_ROI001,23975,27060,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",-1.29492877,CD8A 
258,Germinal center_ROI004,25384,18364,Germinal center,"CD8A; CD8A antigen, alpha polypeptide",-1.14269806,CD8A 
259,Paracortex zone_ROI018,26014,26134,Paracortex zone,"CD8A; CD8A antigen, alpha polypeptide",0.766972284,CD8A 
260,Paracortex zone_ROI003,23615,27609,Paracortex zone,"CD8A; CD8A antigen, alpha polypeptide",0.851721152,CD8A 
261,Paracortex zone_ROI009,10097,34409,Paracortex zone,"CD8A; CD8A antigen, alpha polypeptide",1.313489967,CD8A 
262,Paracortex zone_ROI015,20756,36279,Paracortex zone,"CD8A; CD8A antigen, alpha polypeptide",1.918325155,CD8A 
263,Paracortex zone_ROI006,25105,18785,Paracortex zone,"CD8A; CD8A antigen, alpha polypeptide",0.74578082,CD8A 
264,Paracortex zone_ROI012,10169,32873,Paracortex zone,"CD8A; CD8A antigen, alpha polypeptide",0.748673731,CD8A 
265,Mantle zone_ROI008,9380,34978,Mantle zone,"CD8A; CD8A antigen, alpha polypeptide",-0.066393104,CD8A 
266,Mantle zone_ROI014,22224,36621,Mantle zone,"CD8A; CD8A antigen, alpha polypeptide",0.127254502,CD8A 
267,Mantle zone_ROI002,24303,27332,Mantle zone,"CD8A; CD8A antigen, alpha polypeptide",1.005237899,CD8A 
268,Mantle zone_ROI005,25645,18105,Mantle zone,"CD8A; CD8A antigen, alpha polypeptide",0.081143399,CD8A 
269,Mantle zone_ROI011,8967,33528,Mantle zone,"CD8A; CD8A antigen, alpha polypeptide",1.44076799,CD8A 
270,Mantle zone_ROI017,25314,27219,Mantle zone,"CD8A; CD8A antigen, alpha polypeptide",1.561714775,CD8A 
271,Germinal center_ROI027,21345,12134,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-1.929345074,ECM  
272,Germinal center_ROI026,27284,24303,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-0.043042672,ECM  
273,Germinal center_ROI025,22106,13564,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-0.207522916,ECM  
274,Germinal center_ROI022,7333,20899,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-0.211139107,ECM  
275,Germinal center_ROI024,20423,22880,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-0.135610163,ECM  
276,Germinal center_ROI013,21798,36418,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",1.506564869,ECM  
277,Germinal center_ROI023,12921,26841,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",0.108719139,ECM  
278,Germinal center_ROI019,9260,15437,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-0.970834949,ECM  
279,Germinal center_ROI007,9503,34845,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-0.910413397,ECM  
280,Germinal center_ROI010,9318,33128,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-0.396531251,ECM  
281,Germinal center_ROI016,25388,26749,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-1.498347186,ECM  
