ROI,X_position,Y_position,gene,gene_value,type,SegmentLabel,full_gene_name
G | 6B | 028 | CD11c,3849,25684,Memory CD4 T cells,0.043331530303085,Germinal center - CD11c+,CD11c,Memory CD4 T cells
G | 6B | 028 | CD11c,3849,25684,Naïve CD8 T cells,0,Germinal center - CD11c+,CD11c,Naïve CD8 T cells
G | 6B | 028 | CD11c,3849,25684,Memory CD8 T cells,0,Germinal center - CD11c+,CD11c,Memory CD8 T cells
G | 6B | 028 | CD11c,3849,25684,Natural killer cells,0,Germinal center - CD11c+,CD11c,Natural killer cells
G | 6B | 028 | CD11c,3849,25684,Plasmacytoid dendritic cells,0.00545349353282454,Germinal center - CD11c+,CD11c,Plasmacytoid dendritic cells
G | 6B | 028 | CD11c,3849,25684,Myeloid dendritic cells,0,Germinal center - CD11c+,CD11c,Myeloid dendritic cells
G | 6B | 028 | CD11c,3849,25684,Classical monocytes,0,Germinal center - CD11c+,CD11c,Classical monocytes
G | 6B | 028 | CD11c,3849,25684,"Non-classical, intermediate monocytes",0,Germinal center - CD11c+,CD11c,"Non-classical, intermediate monocytes"
G | 6B | 028 | CD11c,3849,25684,Neutrophils,0,Germinal center - CD11c+,CD11c,Neutrophils
G | 6B | 028 | CD11c,3849,25684,Regulatory T cells,0,Germinal center - CD11c+,CD11c,Regulatory T cells
G | 6B | 028 | CD11c,3849,25684,Endothelial cells,0.00758361635682471,Germinal center - CD11c+,CD11c,Endothelial cells
G | 6B | 028 | CD11c,3849,25684,Fibroblasts,0.00726967176615439,Germinal center - CD11c+,CD11c,Fibroblasts
H | 6B | 029 | CD11c,21741,29893,Macrophages,0.163547701165918,Germinal center - CD11c+,CD11c,Macrophages
H | 6B | 029 | CD11c,21741,29893,Mast cells,0.000378264276445706,Germinal center - CD11c+,CD11c,Mast cells
H | 6B | 029 | CD11c,21741,29893,Naïve B cells,0.248389100910273,Germinal center - CD11c+,CD11c,Naïve B cells
H | 6B | 029 | CD11c,21741,29893,Memory B cells,0.389541217030057,Germinal center - CD11c+,CD11c,Memory B cells
H | 6B | 029 | CD11c,21741,29893,Plasma cells,0.0320363261195757,Germinal center - CD11c+,CD11c,Plasma cells
H | 6B | 029 | CD11c,21741,29893,Naïve CD4 T cells,0,Germinal center - CD11c+,CD11c,Naïve CD4 T cells
H | 6B | 029 | CD11c,21741,29893,Memory CD4 T cells,0.0574834891014664,Germinal center - CD11c+,CD11c,Memory CD4 T cells
H | 6B | 029 | CD11c,21741,29893,Naïve CD8 T cells,0.0437937681599053,Germinal center - CD11c+,CD11c,Naïve CD8 T cells
H | 6B | 029 | CD11c,21741,29893,Memory CD8 T cells,0,Germinal center - CD11c+,CD11c,Memory CD8 T cells
H | 6B | 029 | CD11c,21741,29893,Natural killer cells,0,Germinal center - CD11c+,CD11c,Natural killer cells
H | 6B | 029 | CD11c,21741,29893,Plasmacytoid dendritic cells,0.0158762038618397,Germinal center - CD11c+,CD11c,Plasmacytoid dendritic cells
